LU_class,functie,direct gem,nieuwe_klasse,beschrijving,kleur,waarde /m2
2,woon,260,201,woon,firebrick,260
3,cel,54,202,cel,teal,54
4,industrie,260,203,industrie,grey,260
5,kantoor,260,204,kantoor,indianred,260
6,winkel,260,205,winkel,mediumslateblue,260
7,kas,473839,206,kas,darkslateblue,47.3839
8,logies,260,207,logies,chocolate,260
9,bijeenkomst,260,208,bijeenkomst,sandybrown,260
10,sport,54,209,sport,violet,260
11,onderwijs,260,210,onderwijs,lightblue,260
12,gezondheidszorg,260,211,gezondheidszorg,dodgerblue,260
13,overig gebruik,0,212,overig gebruik,lightgray,0
14,niet ingevuld,0,213,overig,pink,0
15,woongebied,800,214,stedelijk gebied,maroon,0
16,bedrijventerrein,800,214,stedelijk gebied,maroon,0
17,dagrecreatief terrein,869,214,stedelijk gebied,maroon,0
18,vervlijfsrecreatief,869,214,stedelijk gebied,maroon,0
19,sport,800,214,stedelijk gebied,maroon,0
20,begraafplaats,869,214,stedelijk gebied,maroon,0
21,volkstuinen,869,214,stedelijk gebied,maroon,0
22,glastuinbouw,800,214,stedelijk gebied,maroon,800
24,overig gebruik,0,213,overig,pink,800
25,snelweg,800,215,infrastructuur,lightcoral,800
26,regionale weg,800,215,infrastructuur,lightcoral,800
27,verkeerseiland,800,215,infrastructuur,lightcoral,800
28,lokale weg,800,215,infrastructuur,lightcoral,800
29,overige wegdelen,800,215,infrastructuur,lightcoral,800
30,vliegveld,0,213,overig,pink,800
31,spoor,800,215,infrastructuur,lightcoral,800
32,transformatorstation,0,213,overig,pink,800
33,opslagtank,0,213,overig,pink,800
34,bezinkbak,0,213,overig,pink,800
35,bassins,0,213,overig,pink,800
39,bos,0,216,natuur,forestgreen,800
40,groenvoorziening,0,216,natuur,forestgreen,800
41,overig gras/groen,0,216,natuur,forestgreen,800
42,gras,0,216,natuur,forestgreen,0
43,bos/natuur,0,216,natuur,forestgreen,0
44,berm,0,216,natuur,forestgreen,0
45,spoorberm,0,216,natuur,forestgreen,0
50,water,0,217,water,deepskyblue,0
51,binnenwater,0,217,water,deepskyblue,0
52,buitenwater,0,217,water,deepskyblue,0
55,aardbeien op stelling,38385,223,Fruitteelt,blueviolet,0
56,aardbeien open grond,19000,223,Fruitteelt,blueviolet,0
57,aardperen,3660,218,Groente in open grond,navajowhite,0
58,agrarisch gras en veevoeders,1209,220,Agrarisch gras en veevoeders,palegreen,0
59,akkerbouw,3660,218,Groente in open grond,navajowhite,0
60,andijvie,3660,218,Groente in open grond,navajowhite,0
61,appelen,22489,223,Fruitteelt,blueviolet,0.366
62,asperges,3660,218,Groente in open grond,navajowhite,0.366
